Size,Time(ms),Iterations
7036,16,8683,14072
1915,2,6947,3830
2255,7,9688,4510
7487,10,6247,14974
665,2,2591,1330
6730,7,7197,13460
4957,2,7039,9914
1966,6,2881,3932
2719,2,3798,5438
6418,7,4994,12836
5348,9,4535,10696
2465,3,2507,4930
5096,6,6211,10192
4931,10,1314,9862
5415,3,1655,10830
4245,6,5030,8490
578,2,5003,1156
7714,8,5383,15428
8618,7,9690,17236
1985,3,6953,3970
6291,9,9502,12582
4151,2,7133,8302
3586,6,9510,7172
8172,2,7881,16344
3911,2,8442,7822
6123,25,4193,12246
243,3,2400,486
5131,11,1339,10262
5077,2,8638,10154
5917,4,7775,11834
2529,3,0364,5058
2365,2,9950,4730
4092,11,2045,8184
6541,2,9873,13082
6384,8,3767,12768
1144,2,5807,2288
6898,5,2382,13796
1009,2,2916,2018
4775,2,8235,9550
2922,7,0953,5844
1075,2,9863,2150
363,6,9099,726
707,2,4487,1414
2559,5,9301,5118
5323,2,5896,10646
3295,6,2804,6590
2198,3,0875,4396
7342,19,0843,14684
4518,10,7290,9036
5175,2,6154,10350
7362,15,9423,14724
7922,2,9116,15844
4716,24,5158,9432
2510,7,8531,5020
9663,2,4530,19326
6961,13,9471,13922
1204,1,9606,2408
2832,19,9298,5664
7905,5,4879,15810
1473,2,8155,2946
4931,6,8003,9862
7205,2,2412,14410
3011,6,3119,6022
4304,2,6880,8608
832,16,1708,1664
7515,9,6710,15030
1131,1,8576,2262
8095,6,2218,16190
9205,2,4077,18410
3031,6,4799,6062
2655,2,2179,5310
7380,13,8473,14760
8009,8,2728,16018
9488,2,4536,18976
8709,15,3348,17418
2998,2,7577,5996
8920,2,7570,17840
2717,8,0410,5434
8043,4,6099,16086
6595,4,8822,13190
4648,2,2340,9296
3786,6,3075,7572
4899,5,7705,9798
9996,3,9267,19992
4908,20,0187,9816
1672,2,0067,3344
8609,5,9523,17218
3685,6,3124,7370
6609,3,4790,13218
3189,5,2272,6378
5900,5,6022,11800
9998,2,9514,19996
8569,4,7922,17138
3499,2,4420,6998
1561,6,2540,3122
4031,7,0367,8062
4330,2,7663,8660
7001,6,1129,14002
8121,7,0060,16242
9060,3,2145,18120
